instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,yr_label,weekday_label,temp_celsius,atemp_celsius,hum_pct,windspeed_kmh,perf_cluster
144,5/24/2011,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,Summer,Mist/Cloudy,2011,Tue,27.06,30.24065,74.0833,13.875164,Medium
145,5/25/2011,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Summer,Clear/Partly Cloudy,2011,Wed,27.094153,30.7771,69.625,10.333611,High
146,5/26/2011,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Summer,Clear/Partly Cloudy,2011,Thu,29.041653,32.7344,67.75,13.376014,High
147,5/27/2011,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Summer,Clear/Partly Cloudy,2011,Fri,27.948347,31.8504,65.375,16.125493,High
148,5/28/2011,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Summer,Clear/Partly Cloudy,2011,Sat,26.889153,30.61895,72.9583,15.416164,High
149,5/29/2011,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Summer,Clear/Partly Cloudy,2011,Sun,27.3675,30.7775,81.875,14.333846,High
150,5/30/2011,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Summer,Clear/Partly Cloudy,2011,Mon,30.066653,33.5546,68.5,8.792075,Medium
151,5/31/2011,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Summer,Clear/Partly Cloudy,2011,Tue,31.775,36.26915,63.6667,7.459043,Medium
152,6/1/2011,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Summer,Mist/Cloudy,2011,Wed,31.330847,36.04835,67.7083,13.875164,Medium
153,6/2/2011,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,Summer,Clear/Partly Cloudy,2011,Thu,29.315,32.1971,30.5,19.583229,High
154,6/3/2011,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,Summer,Clear/Partly Cloudy,2011,Fri,25.42,29.35665,35.4167,16.959107,High
155,6/4/2011,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,Summer,Clear/Partly Cloudy,2011,Sat,26.035,29.7348,45.625,8.250514,High
156,6/5/2011,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,Summer,Mist/Cloudy,2011,Sun,26.581653,30.8402,65.25,9.292364,High
157,6/6/2011,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,Summer,Clear/Partly Cloudy,2011,Mon,27.811653,31.0929,60,8.167032,Medium
158,6/7/2011,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,Summer,Clear/Partly Cloudy,2011,Tue,29.0075,32.7975,59.7917,12.583136,High
159,6/8/2011,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,Summer,Clear/Partly Cloudy,2011,Wed,31.809153,36.36395,62.2083,9.166739,Medium
160,6/9/2011,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,Summer,Mist/Cloudy,2011,Thu,33.141653,37.87895,56.8333,10.042161,Medium
161,6/10/2011,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,Summer,Clear/Partly Cloudy,2011,Fri,30.955,35.1646,60.5,9.417118,High
162,6/11/2011,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,Summer,Clear/Partly Cloudy,2011,Sat,29.725,33.9019,65.4583,10.37495,High
163,6/12/2011,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,Summer,Clear/Partly Cloudy,2011,Sun,28.3925,32.16625,74.7917,10.958989,Medium
164,6/13/2011,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,Summer,Clear/Partly Cloudy,2011,Mon,26.035,30.0827,49.4583,20.45845,High
165,6/14/2011,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,Summer,Clear/Partly Cloudy,2011,Tue,24.770847,29.5773,50.7083,18.041961,High
166,6/15/2011,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,Summer,Clear/Partly Cloudy,2011,Wed,25.693347,29.3877,47.1667,11.250104,High
167,6/16/2011,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,Summer,Mist/Cloudy,2011,Thu,25.761653,29.7673,68.8333,13.833557,Medium
168,6/17/2011,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,Summer,Clear/Partly Cloudy,2011,Fri,26.615847,30.01915,73.5833,9.582943,High
169,6/18/2011,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,Summer,Clear/Partly Cloudy,2011,Sat,28.563347,32.1977,67.0417,8.000336,High
170,6/19/2011,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,Summer,Mist/Cloudy,2011,Sun,28.665847,32.2923,66.6667,6.834,High
171,6/20/2011,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,Summer,Mist/Cloudy,2011,Mon,26.035,29.7673,74.625,10.416825,Medium
172,6/21/2011,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,Fall,Mist/Cloudy,2011,Tue,27.914153,31.8823,77.0417,11.458675,High
173,6/22/2011,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,Fall,Clear/Partly Cloudy,2011,Wed,30.066653,34.69145,70.75,11.541554,Medium
174,6/23/2011,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,Fall,Mist/Cloudy,2011,Thu,29.861653,34.69165,70.3333,15.999868,High
175,6/24/2011,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,Fall,Clear/Partly Cloudy,2011,Fri,29.690847,32.82915,57.3333,14.875675,High
176,6/25/2011,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,Fall,Clear/Partly Cloudy,2011,Sat,28.495,32.16565,48.3333,14.041257,High
177,6/26/2011,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,Fall,Clear/Partly Cloudy,2011,Sun,27.88,31.88145,51.3333,6.3337311,High
178,6/27/2011,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,Fall,Mist/Cloudy,2011,Mon,27.9825,31.8502,65.8333,7.208396,High
179,6/28/2011,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,Fall,Clear/Partly Cloudy,2011,Tue,30.510847,34.6279,63.4167,9.666961,High
180,6/29/2011,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,Fall,Clear/Partly Cloudy,2011,Wed,29.861653,32.7344,49.7917,17.542007,High
181,6/30/2011,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,Fall,Clear/Partly Cloudy,2011,Thu,28.563347,31.8504,43.4167,12.415904,High
182,7/1/2011,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,Fall,Clear/Partly Cloudy,2011,Fri,29.6225,32.6081,39.625,6.874736,High
183,7/2/2011,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,Fall,Clear/Partly Cloudy,2011,Sat,30.271653,33.3654,44.4583,7.709154,High
184,7/3/2011,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,Fall,Mist/Cloudy,2011,Sun,29.383347,33.42875,68.25,15.333486,High
185,7/4/2011,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,Fall,Mist/Cloudy,2011,Mon,29.793347,33.27085,63.7917,5.4591064,Very High
186,7/5/2011,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,Fall,Clear/Partly Cloudy,2011,Tue,30.613347,34.8169,59.0417,8.459286,High
187,7/6/2011,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,Fall,Clear/Partly Cloudy,2011,Wed,29.52,34.28165,74.3333,10.042161,High
188,7/7/2011,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,Fall,Clear/Partly Cloudy,2011,Thu,30.75,34.34355,65.125,10.6664,High
189,7/8/2011,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,Fall,Mist/Cloudy,2011,Fri,29.075847,33.52415,75.7917,15.083643,Medium
190,7/9/2011,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,Fall,Clear/Partly Cloudy,2011,Sat,30.066653,33.2079,60.9167,11.250104,High
191,7/10/2011,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,Fall,Clear/Partly Cloudy,2011,Sun,30.6475,34.50125,57.8333,12.292557,High
192,7/11/2011,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,Fall,Clear/Partly Cloudy,2011,Mon,31.2625,36.4902,63.5833,18.916579,Medium
193,7/12/2011,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,Fall,Clear/Partly Cloudy,2011,Tue,32.560847,36.96375,55.9167,13.417018,Medium
194,7/13/2011,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,Fall,Clear/Partly Cloudy,2011,Wed,30.613347,34.4702,63.1667,9.790911,Medium
195,7/14/2011,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,Fall,Clear/Partly Cloudy,2011,Thu,27.914153,31.7552,47.625,16.124689,High
196,7/15/2011,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,Fall,Clear/Partly Cloudy,2011,Fri,27.196653,31.21855,59.125,12.249811,High
197,7/16/2011,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,Fall,Clear/Partly Cloudy,2011,Sat,28.153347,31.91315,58.5,13.958914,High
198,7/17/2011,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,Fall,Clear/Partly Cloudy,2011,Sun,29.485847,33.49165,60.4167,16.417211,High
199,7/18/2011,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,Fall,Clear/Partly Cloudy,2011,Mon,30.613347,35.19625,65.125,14.458868,Medium
200,7/19/2011,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,Fall,Clear/Partly Cloudy,2011,Tue,31.843347,37.37395,65.0417,8.7502,Medium
201,7/20/2011,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,Fall,Clear/Partly Cloudy,2011,Wed,31.501653,37.3425,70.7083,7.625739,Medium
202,7/21/2011,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,Fall,Mist/Cloudy,2011,Thu,33.415,41.31855,69.125,14.875407,Medium
203,7/22/2011,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,Fall,Clear/Partly Cloudy,2011,Fri,34.781653,42.0448,58.0417,8.9177,Medium
204,7/23/2011,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,Fall,Clear/Partly Cloudy,2011,Sat,34.815847,40.21435,50,8.791807,Medium
205,7/24/2011,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,Fall,Clear/Partly Cloudy,2011,Sun,34.03,39.74145,55.0833,11.334457,Medium
206,7/25/2011,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,Fall,Clear/Partly Cloudy,2011,Mon,30.476653,36.0479,75.7083,6.0841561,Medium
207,7/26/2011,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,Fall,Clear/Partly Cloudy,2011,Tue,31.638347,34.84895,54.0833,13.417286,High
208,7/27/2011,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,Fall,Clear/Partly Cloudy,2011,Wed,31.775,34.53335,40.2917,12.292021,High
209,7/28/2011,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,Fall,Clear/Partly Cloudy,2011,Thu,31.945847,36.995,58.3333,11.958093,Medium
210,7/29/2011,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,Fall,Clear/Partly Cloudy,2011,Fri,34.371653,39.29835,54.25,11.667246,Medium
211,7/30/2011,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,Fall,Clear/Partly Cloudy,2011,Sat,32.970847,36.42685,46.5833,11.291979,Medium
212,7/31/2011,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,Fall,Clear/Partly Cloudy,2011,Sun,33.039153,36.4898,48.0833,11.042471,Medium
213,8/1/2011,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,Fall,Clear/Partly Cloudy,2011,Mon,31.638347,35.1646,55.0833,10.500039,Medium
214,8/2/2011,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,Fall,Clear/Partly Cloudy,2011,Tue,32.116653,35.35355,49.125,13.79195,High
215,8/3/2011,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574,Fall,Mist/Cloudy,2011,Wed,29.998347,33.99685,65.75,9.084061,Medium
216,8/4/2011,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,Fall,Mist/Cloudy,2011,Thu,29.11,33.2394,75.75,13.20905,High
217,8/5/2011,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,Fall,Clear/Partly Cloudy,2011,Fri,29.144153,32.82835,63.0833,12.374632,High
218,8/6/2011,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294,Fall,Mist/Cloudy,2011,Sat,29.383347,33.8077,75.5,15.29275,Medium
219,8/7/2011,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,Fall,Clear/Partly Cloudy,2011,Sun,30.4425,35.7646,75.2917,13.499629,Medium
220,8/8/2011,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326,Fall,Clear/Partly Cloudy,2011,Mon,31.365,35.16415,59.2083,12.875725,Medium
221,8/9/2011,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602,Fall,Clear/Partly Cloudy,2011,Tue,31.775,36.20605,57.0417,10.125107,High
222,8/10/2011,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780,Fall,Clear/Partly Cloudy,2011,Wed,31.433347,34.24915,42.4167,13.417286,High
223,8/11/2011,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792,Fall,Clear/Partly Cloudy,2011,Thu,29.4175,32.57605,42.375,11.041332,High
224,8/12/2011,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905,Fall,Clear/Partly Cloudy,2011,Fri,29.041653,32.7021,41.5,8.416607,High
225,8/13/2011,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,Fall,Mist/Cloudy,2011,Sat,28.119153,32.2929,72.9583,14.167418,Medium
226,8/14/2011,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,Fall,Mist/Cloudy,2011,Sun,27.743347,31.2194,81.75,14.916411,Medium
227,8/15/2011,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338,Fall,Clear/Partly Cloudy,2011,Mon,27.299153,30.80835,71.2083,13.999918,Medium
228,8/16/2011,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725,Fall,Clear/Partly Cloudy,2011,Tue,28.734153,32.29185,57.8333,15.834043,High
229,8/17/2011,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694,Fall,Clear/Partly Cloudy,2011,Wed,29.656653,33.33355,57.5417,9.625689,High
230,8/18/2011,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805,Fall,Clear/Partly Cloudy,2011,Thu,29.178347,33.1129,65.4583,15.624936,Medium
231,8/19/2011,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153,Fall,Mist/Cloudy,2011,Fri,28.085,31.66105,72.2917,9.333636,Medium
232,8/20/2011,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,Fall,Clear/Partly Cloudy,2011,Sat,28.5975,32.4498,67.4167,6.999289,High
233,8/21/2011,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873,Fall,Clear/Partly Cloudy,2011,Sun,29.144153,33.77625,77,16.666518,Medium
234,8/22/2011,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,Fall,Clear/Partly Cloudy,2011,Mon,28.358347,31.9127,47,18.54225,High
235,8/23/2011,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,Fall,Clear/Partly Cloudy,2011,Tue,26.274153,30.30335,45.5417,9.833121,High
236,8/24/2011,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130,Fall,Clear/Partly Cloudy,2011,Wed,27.606653,31.5346,60.5,16.958236,High
237,8/25/2011,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542,Fall,Mist/Cloudy,2011,Thu,28.050847,32.2927,77.1667,14.125811,Medium
238,8/26/2011,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661,Fall,Clear/Partly Cloudy,2011,Fri,28.7,32.98665,76.125,5.6254875,High
239,8/27/2011,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889,1115,Fall,Mist/Cloudy,2011,Sat,27.88,31.7778,85,25.166339,Low
240,8/28/2011,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,Fall,Clear/Partly Cloudy,2011,Sun,28.989419,32.39795,56.1765,20.412153,Medium
241,8/29/2011,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634,Fall,Clear/Partly Cloudy,2011,Mon,26.103347,30.3979,55.4583,10.708275,High
242,8/30/2011,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204,Fall,Clear/Partly Cloudy,2011,Tue,26.205847,29.7352,54.8333,8.375536,High
243,8/31/2011,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,Fall,Clear/Partly Cloudy,2011,Wed,26.923347,30.55605,59.7917,5.5833311,High
244,9/1/2011,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115,Fall,Clear/Partly Cloudy,2011,Thu,26.855,30.74605,63.9167,9.500332,High
245,9/2/2011,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727,Fall,Mist/Cloudy,2011,Fri,26.376653,30.2404,72.7083,9.375243,High
246,9/3/2011,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,Fall,Clear/Partly Cloudy,2011,Sat,27.435847,31.66065,71.6667,12.416775,Medium
247,9/4/2011,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,Fall,Clear/Partly Cloudy,2011,Sun,29.075847,33.27145,74.2083,13.833289,High
248,9/5/2011,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,Fall,Mist/Cloudy,2011,Mon,27.606653,31.2823,79.0417,14.250632,Medium
249,9/6/2011,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710,Fall,Light Rain/Snow,2011,Tue,22.14,25.76,88.6957,23.044181,Low
250,9/7/2011,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,Fall,Light Rain/Snow,2011,Wed,24.565847,27.21145,91.7083,6.5003936,Low
251,9/8/2011,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1689,1842,Fall,Light Rain/Snow,2011,Thu,25.990433,27.76805,93.9565,12.914116,Low
252,9/9/2011,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,3127,3544,Fall,Mist/Cloudy,2011,Fri,26.65,28.9473,89.7917,8.333393,Medium
253,9/10/2011,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345,Fall,Clear/Partly Cloudy,2011,Sat,27.06,30.3981,75.375,10.291736,High
254,9/11/2011,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,Fall,Clear/Partly Cloudy,2011,Sun,26.786653,30.46145,71.375,7.708618,High
255,9/12/2011,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023,4713,Fall,Clear/Partly Cloudy,2011,Mon,26.418268,30.1065,69.2174,5.957171,High
256,9/13/2011,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062,4763,Fall,Clear/Partly Cloudy,2011,Tue,26.684153,30.1777,71.25,9.500868,High
257,9/14/2011,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785,Fall,Clear/Partly Cloudy,2011,Wed,27.606653,31.345,69.7083,11.2091,High
258,9/15/2011,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659,Fall,Mist/Cloudy,2011,Thu,23.6775,27.68355,70.9167,18.166782,Medium
259,9/16/2011,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760,Fall,Mist/Cloudy,2011,Fri,19.235847,23.07375,59.0417,11.000261,High
260,9/17/2011,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,Fall,Mist/Cloudy,2011,Sat,20.158347,23.9256,71.8333,12.708225,Medium
261,9/18/2011,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274,Fall,Clear/Partly Cloudy,2011,Sun,20.8075,24.52685,69.5,11.958361,Medium
262,9/19/2011,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539,Fall,Mist/Cloudy,2011,Mon,22.515847,26.48375,69,10.166714,Medium
263,9/20/2011,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641,Fall,Mist/Cloudy,2011,Tue,23.028347,26.61085,88.125,9.041918,Medium
264,9/21/2011,3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,539,3813,4352,Fall,Mist/Cloudy,2011,Wed,24.395,27.52665,90,6.4590814,Medium
265,9/22/2011,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555,4240,4795,Fall,Mist/Cloudy,2011,Thu,25.761653,27.74815,90.2083,8.584375,High
266,9/23/2011,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258,2137,2395,Winter,Mist/Cloudy,2011,Fri,24.975847,26.10625,97.25,5.2505689,Low
267,9/24/2011,4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,Winter,Mist/Cloudy,2011,Sat,24.873347,28.2206,86.25,5.2516811,High
268,9/25/2011,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466,5010,Winter,Mist/Cloudy,2011,Sun,26.000847,28.63185,84.5,3.3754064,High
269,9/26/2011,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,3946,4630,Winter,Mist/Cloudy,2011,Mon,26.615847,29.4521,84.8333,7.4169,High
270,9/27/2011,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477,3643,4120,Winter,Mist/Cloudy,2011,Tue,26.103347,28.72625,88.5417,7.917457,Medium
271,9/28/2011,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,480,3427,3907,Winter,Mist/Cloudy,2011,Wed,26.035,28.7579,84.875,9.958143,Medium
272,9/29/2011,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653,4186,4839,Winter,Clear/Partly Cloudy,2011,Thu,25.283347,28.7256,69.9167,11.583161,High
273,9/30/2011,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830,4372,5202,Winter,Clear/Partly Cloudy,2011,Fri,23.130847,27.24145,64.75,13.833825,High
274,10/1/2011,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480,1949,2429,Winter,Mist/Cloudy,2011,Sat,16.81,20.64315,75.375,19.583832,Low
275,10/2/2011,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616,2302,2918,Winter,Mist/Cloudy,2011,Sun,14.623347,17.26585,79.1667,14.874871,Low
276,10/3/2011,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330,3240,3570,Winter,Mist/Cloudy,2011,Mon,15.750847,19.6023,76.0833,5.5841686,Medium
277,10/4/2011,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486,3970,4456,Winter,Clear/Partly Cloudy,2011,Tue,19.850847,23.6429,71,13.792218,Medium
278,10/5/2011,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559,4267,4826,Winter,Clear/Partly Cloudy,2011,Wed,22.071653,26.3569,64.7917,11.87575,High
279,10/6/2011,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639,4126,4765,Winter,Clear/Partly Cloudy,2011,Thu,20.260847,24.02125,62.0833,9.041918,High
280,10/7/2011,4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949,4036,4985,Winter,Clear/Partly Cloudy,2011,Fri,20.944153,25.2202,68.4167,1.5002439,High
281,10/8/2011,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409,Winter,Clear/Partly Cloudy,2011,Sat,21.388347,25.6621,70.125,3.0420814,High
282,10/9/2011,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397,3114,5511,Winter,Clear/Partly Cloudy,2011,Sun,22.174153,26.19915,72.75,4.25115,High
283,10/10/2011,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117,Winter,Clear/Partly Cloudy,2011,Mon,23.404153,27.14625,73.375,2.8343814,High
284,10/11/2011,4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667,3896,4563,Winter,Mist/Cloudy,2011,Tue,23.233347,27.3048,80.875,9.583814,High
285,10/12/2011,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217,2199,2416,Winter,Light Rain/Snow,2011,Wed,22.276653,25.88585,90.625,16.62605,Low
286,10/13/2011,4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290,2623,2913,Winter,Mist/Cloudy,2011,Thu,24.155847,27.5902,89.6667,9.499729,Low
287,10/14/2011,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529,3115,3644,Winter,Mist/Cloudy,2011,Fri,22.584153,26.48375,71.625,15.000161,Medium
